iter	RMSE
202	198518.3668
203	198374.4158
204	198243.4576
205	198127.8391
206	197799.3245
207	197692.1719
208	197585.2383
209	197445.968
210	197407.4486
211	197243.0605
212	197144.4068
213	196920.3976
214	196751.3168
215	196625.5772
216	196547.8713
217	195898.2845
218	195781.6209
219	195591.2161
220	195440.2762
221	195308.7542
222	195208.3826
223	195078.589
224	195044.0372
225	194841.2228
226	194729.9762
227	194583.9724
228	194397.955
229	194271.3954
230	194250.6817
231	194219.9863
232	194145.8354
233	193879.0431
234	193773.6581
235	193644.3256
236	193386.9864
237	193258.4027
238	193165.6106
239	192786.6376
240	192666.1275
241	192502.7858
242	192270.8901
243	192211.0706
244	191980.2083
245	191822.2461
246	191550.3124
247	191271.4349
248	191154.6557
249	191112.1103
250	191052.3891
251	190894.5906
252	190692.7857
253	190527.8355
254	190403.3402
255	189980.3858
256	189801.1089
257	189403.3636
258	189344.3593
259	189234.0099
260	189063.5256
261	188902.9319
262	188643.6937
263	188606.8652
264	188537.7152
265	188392.803
266	187655.6811
267	187577.3104
268	187467.6674
269	187367.5419
270	187306.372
271	187289.023
272	187033.222
273	186934.3726
274	186750.4044
275	186599.2793
276	186399.0777
277	186218.2766
278	186185.8974
279	186098.1323
280	185948.1316
281	185771.9749
282	185661.4891
283	185575.0829
284	185450.0383
285	185430.1313
286	185250.1246
287	185133.388
288	184985.0191
289	184859.3002
290	184739.0825
291	184660.1694
292	184558.791
293	184544.6154
294	184219.3322
295	184050.9441
296	183942.2188
297	183831.0787
298	183702.3466
299	183505.7445
300	183357.7272
301	183294.4474
302	183260.7934
303	183142.4589
304	183062.32
305	182920.2919
306	182856.9412
307	182729.3883
308	182690.616
309	182577.0399
310	182476.6169
311	182380.4969
312	182243.9273
313	182198.9503
314	181528.4302
315	181428.3637
316	181345.6705
317	181292.6422
318	181204.2024
319	181063.2988
320	180933.7829
321	180780.8753
322	180692.894
323	180614.8151
324	180549.2768
325	180462.2215
326	180396.1898
327	180248.153
328	180204.8305
329	180034.6594
330	179946.1128
331	179827.2258
332	179599.057
333	179497.5678
334	179443.9604
335	179275.5126
336	179101.637
337	178932.9462
338	178908.8716
339	178790.7588
340	178728.7416
341	178645.9185
342	178626.2418
343	178560.4471
344	178431.8213
345	178109.4318
346	177471.4997
347	177302.4834
348	177217.1551
349	177081.6528
350	176949.598
351	176814.3758
352	176695.5592
353	176597.0181
354	176525.5195
355	176381.5228
356	176306.9867
357	176203.4758
358	176187.8154
359	176122.3587
360	175960.1949
361	175855.6137
362	175767.864
363	175685.4023
364	175591.5816
365	175487.4312
366	175388.9932
367	175308.5372
368	175137.0854
369	175073.6192
370	175044.2244
371	174913.8664
372	174861.7629
373	174839.9516
374	174764.2256
375	174730.6007
376	174658.6874
377	174635.3338
378	174533.0946
379	174462.8213
380	174346.5759
381	174209.1606
382	174082.3442
383	174008.3039
384	173393.1808
385	173290.5545
386	173249.609
387	173048.3044
388	172447.9789
389	172357.0602
390	172272.0749
391	172177.2909
392	172074.5919
393	172042.6726
394	172003.6796
395	171930.9113
396	171847.2969
397	171797.895
398	171735.9067
399	171619.9606
400	171489.3143
401	171435.3259
402	171386.336
403	171264.566
404	171117.2225
405	171080.6731
406	170961.0655
407	170853.2453
408	170753.8271
409	170652.4188
410	170598.7969
411	170323.1323
412	170224.7051
413	170176.9594
414	170021.7529
415	169967.879
416	169902.884
417	169857.6025
418	169749.1476
419	169654.7017
420	169527.0188
421	169423.5789
422	169345.4362
423	169257.177
424	169217.9135
425	169197.7994
426	169178.6122
427	168987.3837
428	168950.9439
429	168872.8469
430	168801.8064
431	168731.3479
432	168648.5501
433	168521.2405
434	168452.4695
435	168359.6961
436	168341.9431
437	168294.801
438	167721.0225
439	167681.0572
440	167600.3173
441	167551.5971
442	167464.4706
443	167356.4779
444	167298.9865
445	167232.3166
446	167127.1065
447	167068.6823
448	166938.2227
449	166859.9883
450	166817.1143
451	166727.1874
452	166656.299
453	166597.5427
454	166509.9489
455	166460.0811
456	166350.198
457	166264.8213
458	166246.4376
459	166147.1704
460	166101.6501
461	166020.1895
462	165958.8282
463	165882.2445
464	165831.3824
465	165756.9073
466	165706.9474
467	165609.4473
468	165549.674
469	165393.1435
470	165330.5736
471	165234.1621
472	165109.3923
473	165001.2886
474	164992.2372
475	164891.052
476	164776.8229
477	164718.6951
478	164686.1336
479	164629.8967
480	164588.7195
481	164533.1454
482	164426.6175
483	164375.3015
484	164327.1265
485	164274.0093
486	164203.7702
487	164131.4877
488	164045.608
489	163999.3996
490	163940.4135
491	163917.1141
492	163818.8618
493	163782.8817
494	163711.8952
495	163644.5495
496	163636.1224
497	163599.0404
498	163488.6126
499	163445.5231
500	163415.3433
501	163367.6527
502	163304.1252
503	163279.5485
504	163219.0676
505	163178.6955
506	163105.5908
507	163070.1176
508	163065.0629
509	162962.8754
510	162913.2254
511	162857.2311
512	162785.5151
513	162727.3196
514	162713.0975
515	162696.3005
516	162617.9786
517	162599.6462
518	162555.5572
519	162497.3318
520	162435.8013
521	162366.9762
522	162265.5757
523	162230.6414
524	162162.5591
525	162109.1522
526	161988.3231
527	161946.9608
528	161860.1017
529	161780.3031
530	161732.4289
531	161700.3083
532	161641.4541
533	161580.3919
534	161529.1032
535	161521.8468
536	161479.9064
537	161428.5785
538	161123.3408
539	161050.2642
540	161029.2938
541	160964.5299
542	160899.9474
543	160785.665
544	160756.4318
545	160685.3445
546	160594.4577
547	160536.9167
548	160529.395
549	160465.1263
550	160447.3791
551	160314.0249
552	160254.2801
553	160211.4852
554	160173.8251
555	160103.8829
556	160053.5055
557	159994.9924
558	159932.8545
559	159869.8751
560	159409.6787
561	159324.9891
562	159287.073
563	158770.5528
564	158716.7571
565	158658.006
566	158627.9411
567	158621.5633
568	158510.1019
569	158475.8557
570	158414.3185
571	157922.3098
572	157871.2684
573	157806.6149
574	157790.1744
575	157717.4095
576	157577.0015
577	157512.3514
578	157425.3993
579	157388.2301
580	157380.2499
581	157339.3208
582	157313.0033
583	157290.7058
584	157269.5187
585	157220.0685
586	157169.6112
587	157101.7777
588	157034.5149
589	156974.6698
590	156951.0817
591	156892.8171
592	156859.2842
593	156847.9299
594	156679.3158
595	156632.9091
596	156577.9686
597	156526.6273
598	156496.4663
599	156371.5917
600	156320.8691
601	156284.338
602	156232.4263
603	156201.1413
604	156130.6977
605	156086.5724
606	156053.3348
607	156023.2534
608	155998.572
609	155935.5755
610	155908.3499
611	155888.4734
612	155852.8855
613	155834.8507
614	155732.4516
615	155701.7877
616	155229.677
617	155157.0244
618	155141.4879
619	155111.3922
620	155024.1739
621	154896.9437
622	154728.7532
623	154575.6704
624	154561.4794
625	154513.5047
626	154495.9425
627	154437.3766
628	154423.6439
629	154404.0048
630	154375.0813
631	154346.3961
632	154330.4509
633	154278.8979
634	154217.0208
635	154160.4339
636	154032.7396
637	153988.3414
638	153808.0772
639	153780.3975
640	153753.3097
641	153653.531
642	153649.8046
643	153638.8874
644	153597.2811
645	153451.5258
646	153400.8751
647	153378.75
648	153317.222
649	153279.8666
650	153255.4995
651	153225.9867
652	153109.064
653	153068.0016
654	153019.3108
655	152922.6026
656	152909.1536
657	152835.3082
658	152796.8175
659	152741.1847
660	152726.1447
661	152700.7672
662	152668.7814
663	152611.6007
664	152581.9033
665	152147.3248
666	152125.8215
667	152033.1559
668	152027.5235
669	151968.3316
670	151841.0713
671	151823.8239
672	151770.3967
673	151338.0767
674	151310.2532
675	151275.7849
676	151241.9029
677	151158.994
678	151132.5003
679	151114.1487
680	151064.326
681	151016.5807
682	150959.4427
683	150866.6809
684	150803.8268
685	150743.2741
686	150730.0575
687	150700.5491
688	150686.4608
689	150645.7523
690	150244.5759
691	150197.7521
692	150163.5837
693	150084.9577
694	149890.8555
695	149846.5334
696	149839.4078
697	149813.4409
698	149429.9433
699	149415.5214
700	149360.7013
701	149343.8212
702	149302.1672
703	149270.3678
704	149235.3632
705	149210.013
706	149155.9529
707	149121.8935
708	148744.0717
709	148674.0055
710	148661.1854
711	148596.5337
712	148522.3714
713	148458.7471
714	148413.5276
715	148359.6893
716	148338.3523
717	148298.7724
718	148264.7602
719	148223.7554
720	148202.0221
721	148195.3131
722	148162.1011
723	148119.41
724	148098.0453
725	148071.2461
726	148065.5881
727	148030.4106
728	147976.8075
729	147964.5857
730	147863.8581
731	147737.5689
732	147675.874
733	147637.4706
734	147633.3164
735	147517.181
736	147459.7914
737	147395.2568
738	147286.3975
739	147268.6191
740	147247.6161
741	147189.2607
742	147152.9522
743	147138.3654
744	147098.5174
745	147039.3603
746	147036.2756
747	146988.0937
748	146944.6377
749	146870.5949
750	146854.7779
751	146834.8446
752	146816.1939
753	146738.0916
754	146692.2094
755	146631.6384
756	146584.0435
757	146485.05
758	146455.2206
759	146428.3618
760	146425.0693
761	146405.4573
762	146362.5488
763	146345.4388
764	146241.7472
765	145886.7792
766	145863.1208
767	145807.2139
768	145759.0359
769	145735.6446
770	145709.1136
771	145690.335
772	145643.4301
773	145619.6919
774	145578.566
775	145553.8953
776	145483.0532
777	145466.9755
778	145398.3823
779	145348.0735
780	145302.5706
781	145260.2825
782	145207.9237
783	145195.9347
784	145123.1493
785	145109.3949
786	145087.276
787	145040.4769
788	145003.0254
789	144981.4072
790	144949.2196
791	144931.8332
792	144916.8013
793	144583.8169
794	144529.5757
795	144453.6213
796	144417.0094
797	144390.4414
798	144378.6172
799	144361.149
800	144347.8814
801	144293.9248
802	144263.087
803	144162.9129
804	144124.0627
805	144104.9669
806	144044.5311
807	143948.4454
808	143905.0552
809	143854.4591
810	143804.6348
811	143778.602
812	143758.1672
813	143737.7849
814	143420.2252
815	143397.7786
816	143372.752
817	143362.6104
818	143321.1976
819	143266.8928
820	143240.7573
821	142921.9062
822	142919.1507
823	142893.5817
824	142865.3506
825	142846.6248
826	142552.4011
827	142523.0358
828	142501.3507
829	142483.1976
830	142455.0522
831	142414.0694
832	142388.0682
833	142366.9263
834	142339.7538
835	142308.3724
836	142259.9866
837	142226.067
838	142192.8454
839	142171.0281
840	141890.7738
841	141872.5576
842	141840.57
843	141774.6719
844	141743.1508
845	141693.8452
846	141645.3747
847	141635.9557
848	141599.3355
849	141557.5927
850	141543.9154
851	141537.5626
852	141508.212
853	141487.5906
854	141464.8621
855	141453.1368
856	141361.9815
857	141326.4541
858	141297.9692
859	141191.6505
860	141183.0895
861	141149.7751
862	141024.3332
863	140992.649
864	140974.2779
865	140965.6165
866	140912.5259
867	140839.5066
868	140811.5386
869	140796.9644
870	140775.5568
871	140729.8927
872	140660.2365
873	140377.6051
874	140366.4043
875	140351.6425
876	140311.4257
877	140295.6778
878	140178.7091
879	140139.4148
880	140103.6679
881	140075.1966
882	140056.4498
883	140010.6548
884	139973.4068
885	139951.261
886	139930.3934
887	139869.7503
888	139848.2337
889	139834.8039
890	139777.0676
891	139670.1919
892	139658.8637
893	139625.8482
894	139586.7661
895	139493.3282
896	139464.6027
897	139449.8483
898	139370.4542
899	139325.1614
900	139286.8791
901	139280.5494
902	139203.3907
903	139160.4607
904	139141.8679
905	139119.4304
906	139104.8351
907	139062.3781
908	139053.5822
909	139024.0499
910	138965.3587
911	138722.2475
912	138712.9477
913	138625.027
914	138526.5037
915	138422.466
916	138364.695
917	138336.1328
918	138290.684
919	138041.333
920	138037.3255
921	137877.3841
922	137780.8161
923	137683.6098
924	137649.7998
925	137614.7068
926	137546.6018
927	137534.5212
928	137509.4175
929	137472.657
930	137462.6541
931	137423.3455
932	137408.0542
933	137375.1233
934	137335.1445
935	137332.0392
936	137316.4287
937	137286.0242
938	137260.7731
939	137214.1854
940	137165.445
941	137110.1857
942	137070.5893
943	136981.7251
944	136963.2119
945	136930.1881
946	136907.0313
947	136860.3157
948	136832.4226
949	136609.4983
950	136566.4271
951	136535.2891
952	136523.073
953	136508.54
954	136481.8973
955	136453.5953
956	136438.9749
957	136429.5818
958	136356.7002
959	136323.7007
960	136298.1349
961	136279.5251
962	136242.7592
963	136212.8111
964	136189.2316
965	135979.7872
966	135937.3193
967	135880.648
968	135721.7712
969	135688.9722
970	135667.831
971	135640.2755
972	135627.7811
973	135593.0561
974	135549.5935
975	135532.8864
976	135404.5455
977	135372.5528
978	135330.63
979	135328.8275
980	135285.9104
981	135275.9021
982	135196.5929
983	135166.1892
984	135141.2139
985	135111.3233
986	135033.6843
987	135002.7439
988	134986.7168
989	134969.6293
990	134906.358
991	134864.1845
992	134855.0399
993	134814.7691
994	134756.7623
995	134728.2094
996	134685.1199
997	134665.9859
998	134650.0376
999	134610.1515
